UCAV,GRMA,RHON,GR_RAB,BPHI,TNPH,RES_BD,P16B,A40B,VSH,VCO
9.80607,57.87502,1.833702,83.05523,52.2606,53.2526,1.829763,1.591359,1.632399,,
9.960941,55.967,1.837442,86.36227,47.8026,46.2712,1.768749,1.583449,1.631822,,
10.40988,55.66935,1.841077,87.52194,52.2371,53.5226,1.702966,1.547392,1.652349,,
10.27761,54.40223,1.843542,87.23942,49.6904,49.4173,1.705528,1.565091,1.634641,,
10.14538,55.78045,1.842688,89.10304,49.6226,49.2769,1.625335,1.595386,1.635534,,
9.81996,58.28241,1.842488,86.83928,49.0217,48.3201,1.608972,1.619169,1.634377,,
9.476089,58.60968,1.847576,82.53645,50.9193,51.5704,1.269481,1.616383,1.634497,,
9.419537,57.90626,1.852812,82.425,49.6703,49.7333,1.677212,1.621196,1.64213,,
9.532001,58.91143,1.864302,83.76752,52.6465,55.2332,1.597437,1.615503,1.648962,,
9.559583,60.63878,1.876977,83.74944,52.2902,55.1564,1.703378,1.615788,1.648959,,
9.634216,60.98676,1.883776,82.49108,47.9102,48.079,1.693457,1.62073,1.657146,,
9.719814,59.50169,1.885696,80.75016,51.828,54.7155,1.884728,1.623891,1.659537,,
9.764683,58.71559,1.910651,81.88303,49.0582,50.9668,1.877533,1.62941,1.669041,,
9.834053,59.11024,1.932692,82.6815,47.8183,49.7516,1.650694,1.632205,1.676024,,
9.708889,59.77932,1.947934,81.82217,44.9852,45.7543,1.670171,1.634174,1.668299,,
9.544746,60.44765,1.951421,83.38799,46.8535,48.8617,1.629389,1.647191,1.673446,,
9.318236,62.49893,1.94528,83.72733,44.6751,45.1835,1.740773,1.649125,1.672174,,
9.235772,64.24667,1.950802,83.46275,45.7576,47.0654,1.696392,1.657134,1.673132,,
9.174381,64.56188,1.941105,82.7285,43.6137,43.4469,2.045475,1.655695,1.677377,,
9.23188,65.35866,1.926161,79.62568,48.5131,50.6566,1.936123,1.65566,1.661604,,
9.296875,63.62954,1.889472,79.61603,54.6569,60.1429,1.666433,1.651747,1.661254,,
9.303758,61.74539,1.86048,82.74284,50.0232,50.6006,2.121437,1.612235,1.665807,,
9.86828,58.39145,1.821008,82.18458,53.0156,54.0025,1.982096,1.513529,1.666774,,
10.11561,56.00278,1.787814,78.85269,54.1994,54.6011,1.689685,1.458428,1.65754,,
10.09878,55.93377,1.748258,78.13119,53.4824,51.7652,2.149982,1.52329,1.644012,,
9.938456,56.32542,1.726259,80.63924,54.0607,51.8041,2.081958,1.559672,1.611439,,
10.1731,56.74423,1.7176,83.37424,56.5678,55.5507,1.533786,1.510476,1.6213,,
10.39701,56.75349,1.720367,82.08453,57.9771,58.1144,1.096468,1.499207,1.616919,,
10.23869,57.31026,1.737633,77.96146,51.3974,48.1283,1.570088,1.502106,1.622552,,
10.48461,55.7626,1.73789,78.58398,56.7546,56.7848,2.285074,1.504354,1.619929,,
10.65635,53.74195,1.726683,81.2233,50.8324,46.8985,1.48514,1.526852,1.61462,,
9.827541,51.6297,1.716598,80.30827,54.5494,52.1919,1.267589,1.470397,1.641606,,
10.24228,54.65715,1.722899,80.78535,57.1953,56.8635,1.311231,1.539095,1.617462,,
10.3165,55.96431,1.706844,82.24641,57.4717,56.6069,1.439925,1.567104,1.610239,,
10.76209,56.7676,1.728793,82.17612,55.1639,53.6937,1.678993,1.520649,1.634207,,
,55.15527,1.755209,82.6713,57.2481,58.4663,1.467166,1.544493,1.62463,,
,53.8381,1.781232,82.9123,52.9679,52.2675,1.78141,1.554627,1.625064,,
,53.53754,1.795323,83.15334,51.537,50.5155,1.707949,1.563968,1.621191,,
,50.96739,1.825185,84.19153,50.0077,49.2303,1.447798,1.57311,1.621503,,
10.68036,52.4514,1.82057,85.03833,52.4875,53.0895,1.495947,1.578224,1.619163,,
